model,benchmark,metric,score,num_examples,details_path
base,gsm8k,accuracy,0.020000,100,D:\IntroML\project\level1_model_merging\results_improved\eval\base_gsm8k.jsonl
base,humaneval,pass_at_1,0.000000,50,D:\IntroML\project\level1_model_merging\results_improved\eval\base_humaneval.jsonl
expert_code,gsm8k,accuracy,0.550000,100,D:\IntroML\project\level1_model_merging\results_improved\eval\expert_code_gsm8k.jsonl
expert_code,humaneval,pass_at_1,0.600000,50,D:\IntroML\project\level1_model_merging\results_improved\eval\expert_code_humaneval.jsonl
expert_math,gsm8k,accuracy,0.770000,100,D:\IntroML\project\level1_model_merging\results_improved\eval\expert_math_gsm8k.jsonl
expert_math,humaneval,pass_at_1,0.220000,50,D:\IntroML\project\level1_model_merging\results_improved\eval\expert_math_humaneval.jsonl
slerp_code020_math080,gsm8k,accuracy,0.210000,100,D:\IntroML\project\level1_model_merging\results_improved\eval\slerp_code020_math080_gsm8k.jsonl
slerp_code020_math080,humaneval,pass_at_1,0.020000,50,D:\IntroML\project\level1_model_merging\results_improved\eval\slerp_code020_math080_humaneval.jsonl
slerp_code080_math020,gsm8k,accuracy,0.040000,100,D:\IntroML\project\level1_model_merging\results_improved\eval\slerp_code080_math020_gsm8k.jsonl
slerp_code080_math020,humaneval,pass_at_1,0.080000,50,D:\IntroML\project\level1_model_merging\results_improved\eval\slerp_code080_math020_humaneval.jsonl
task_code080_math020_l100,gsm8k,accuracy,0.080000,100,D:\IntroML\project\level1_model_merging\results_improved\eval\task_code080_math020_l100_gsm8k.jsonl
task_code080_math020_l100,humaneval,pass_at_1,0.020000,50,D:\IntroML\project\level1_model_merging\results_improved\eval\task_code080_math020_l100_humaneval.jsonl
ties_code080_math020_d080,gsm8k,accuracy,0.000000,100,D:\IntroML\project\level1_model_merging\results_improved\eval\ties_code080_math020_d080_gsm8k.jsonl
ties_code080_math020_d080,humaneval,pass_at_1,0.000000,50,D:\IntroML\project\level1_model_merging\results_improved\eval\ties_code080_math020_d080_humaneval.jsonl
