model,benchmark,metric,score,num_examples,details_path
base,gsm8k,accuracy,0.566667,30,D:\IntroML\project\level1_model_merging\results_lora\eval\base_gsm8k.jsonl
base,humaneval,pass_at_1,0.450000,20,D:\IntroML\project\level1_model_merging\results_lora\eval\base_humaneval.jsonl
expert_code,gsm8k,accuracy,0.233333,30,D:\IntroML\project\level1_model_merging\results_lora\eval\expert_code_gsm8k.jsonl
expert_code,humaneval,pass_at_1,0.550000,20,D:\IntroML\project\level1_model_merging\results_lora\eval\expert_code_humaneval.jsonl
expert_math,gsm8k,accuracy,0.733333,30,D:\IntroML\project\level1_model_merging\results_lora\eval\expert_math_gsm8k.jsonl
expert_math,humaneval,pass_at_1,0.300000,20,D:\IntroML\project\level1_model_merging\results_lora\eval\expert_math_humaneval.jsonl
slerp_lora_code020_math080,gsm8k,accuracy,0.633333,30,D:\IntroML\project\level1_model_merging\results_lora\eval\slerp_lora_code020_math080_gsm8k.jsonl
slerp_lora_code020_math080,humaneval,pass_at_1,0.350000,20,D:\IntroML\project\level1_model_merging\results_lora\eval\slerp_lora_code020_math080_humaneval.jsonl
slerp_lora_code050_math050,gsm8k,accuracy,0.533333,30,D:\IntroML\project\level1_model_merging\results_lora\eval\slerp_lora_code050_math050_gsm8k.jsonl
slerp_lora_code050_math050,humaneval,pass_at_1,0.300000,20,D:\IntroML\project\level1_model_merging\results_lora\eval\slerp_lora_code050_math050_humaneval.jsonl
slerp_lora_code080_math020,gsm8k,accuracy,0.433333,30,D:\IntroML\project\level1_model_merging\results_lora\eval\slerp_lora_code080_math020_gsm8k.jsonl
slerp_lora_code080_math020,humaneval,pass_at_1,0.300000,20,D:\IntroML\project\level1_model_merging\results_lora\eval\slerp_lora_code080_math020_humaneval.jsonl
task_lora_code050_math050_l100,gsm8k,accuracy,0.500000,30,D:\IntroML\project\level1_model_merging\results_lora\eval\task_lora_code050_math050_l100_gsm8k.jsonl
task_lora_code050_math050_l100,humaneval,pass_at_1,0.300000,20,D:\IntroML\project\level1_model_merging\results_lora\eval\task_lora_code050_math050_l100_humaneval.jsonl
ties_lora_code050_math050_d050,gsm8k,accuracy,0.600000,30,D:\IntroML\project\level1_model_merging\results_lora\eval\ties_lora_code050_math050_d050_gsm8k.jsonl
ties_lora_code050_math050_d050,humaneval,pass_at_1,0.300000,20,D:\IntroML\project\level1_model_merging\results_lora\eval\ties_lora_code050_math050_d050_humaneval.jsonl
